id,title,original_title,language,overview,genres,keywords,cast,director,release_date,runtime,popularity,vote_average,vote_count,budget,revenue,production_companies,production_countries,spoken_languages,poster_path,tagline,adult
1254306,PREM LEKHAN,PREM LEKHAN,ml,overthinkers are filmmakers in parallel universe,['Drama'],[],"['Shravan', 'Manya Mallika', 'Akshay t Shaji', 'Al Muize', 'Eldhose', 'Ashwathy', 'Rizal', 'Doliya Karun', 'Devika Chandran', 'Kundhana']",Akshay t Shaji,2024-03-01,8,0.0214,0.0,0,0,0,['Nutella Naranga & The rat house production'],[],['Malayalam'],/hkN3O1B5NlsFuhVcLAxvSsN8e68.jpg,Overthinkers are filmmakers in parallel universe,False
1434763,FRANKY,FRANKY,ml,"In the mysterious realm of purgatory, Franky recounts his final days to a curious stranger. His tale unfolds with pulse-pounding action as he relentlessly hunts down Freddy, the man responsible for his girlfriend's brutal murder. Franky's journey is a whirlwind of danger and determination, leading to an intense confrontation with Freddy. As their encounter escalates, dark themes of love, lust, and revenge surface, culminating in a shocking climax. This action-packed short film keeps you on the edge of your seat, exploring the thin line between justice and madness","['Action', 'Drama']",[],"['Ananthan', 'Midhuna', 'Nidhin', 'Adil', 'Abin']",Aalaap,2024-06-05,25,0.0143,0.0,0,150,0,['Pax Films'],[],[],/uGQ6qMCB54C7Qt0IAhjJhllHXDX.jpg,I Have a New Plan: To Go Mad.,False
1319765,Remote Control,Remote Control,ml,"A first-generation migrant nurse is going through a journey of self-introspection. Once, she believed that with an authoritarian nature, she could keep her family close and united. In her quest to keep them close, she inadvertently ends up creating rifts. Now, she realizes that this is not only impacting her family but also affecting her personal health.",['Drama'],[],"['Minu Jacob', 'Anu Devassy', 'Anika Prince', 'Arun Joy', 'Jayamma Mathew']",Prince Antony,2024-06-01,9,0.0071,10.0,1,1000,0,['2K20Movies'],[],['Malayalam'],/e8dWD8DhsfzdHFZxhbr93R4PYSG.jpg,Ensnared by own devices,False
1394266,War ft mary,War ft mary,ml,Two group of boys fighting,['Comedy'],"['short film', 'boys group fighting']","['Ambady', 'Aswin K A', 'Devanarayanan', 'Aadithyan', 'Jinath', 'Jithin aji']",Athulkrishna,2024-03-30,6,0.0,0.0,0,0,0,[],['India'],['Malayalam'],/zanmnlQn6fFIvq2CZXxX4m7Wy54.jpg,Fighting of boys groups,False
1123361,"Alone, But Not Forever","Alone, But Not Forever",ml,"Yamin and his struggles with loneliness and isolation. His little brother, Dhamin, helps him to find some solace through their shared love of drawing. However, Yamin still feels the need to leave and find his own way in the end. It's a touching story about the power of connection and creativity.",['Drama'],"['alone', 'loneliness', 'psychological melodrama', 'short film', 'sad']","['Yamin Faizal', 'Dhamin Faizal', 'Hafiz']",Ibrahim,2023-05-08,2,0.2082,0.0,0,0,0,['Greenhouse productions'],['India'],['Malayalam'],/lc7grxhp3eUa4wNzoVWKrThThmr.jpg,English,False
1181514,Sofi,Sofi,ml,"A love story between a young man, Jo and an older woman, Sofi. The film highlights the fact that love knows no limits and can be just as passionate and intense regardless of the age difference.",[],[],"['Swathi', 'Dipin', 'Danuja', 'Badari', 'Harisree Martin', 'Aneesh Ravi']",Joby Vayalaunkal,2023-01-06,140,0.1121,0.0,0,0,0,[],[],[],/5znUYsMrvQq9LXGomxbwdsnevVZ.jpg,Madness of love,False
1197565,Oru Thulli Thaappa,ഒരു തുള്ളി താപ്പാ,ml,Oru Thulli Thaappa is a Malayalam Language movie directed by Vivek Ramachandran. It was not released in theaters and opted for direct digital release via OTT platforms.,"['Drama', 'Comedy', 'Horror']",['alcoholism'],"['Lal Jose', 'Jamshi Kannur', 'Rohith Krishna', 'Basheer Chekiyadath', 'Rajesh Rajeev', 'Arun Nadakkave', 'Ambili Nakshatra', 'Aswin Puthiyaveetil', 'Prabhuraj', 'Anusree Pothan']",Vivek Ramachandran,2023-10-20,39,0.1715,5.0,1,0,0,[],['India'],['Malayalam'],/7LdAzlzuntxGJpXvehXCKeLyY48.jpg,Alcoholism,False
1106164,B 32 Muthal 44 Vare,ബി 32 മുതൽ 44 വരെ,ml,Five women and a trans-man who are subjected to body shaming in the name of the size and shape of their breasts look back at society as they begin to embrace themselves.,['Drama'],[],"['Remya Nambeesan', 'Zarin Shihab', 'Ashwathy B', 'Anarkali Marikar', 'Krisha Kurup', 'Raina Radhakrishnan', 'Harish Uthaman', 'Sajin Cherukayil', 'Gibin Gopinath', 'Sajitha Madathil']",Shruthi Sharanyam,2023-04-06,108,0.1692,3.0,2,0,0,['Kerala State Film Development Corporation (KSFDC)'],['India'],['Malayalam'],/h78AOWrp0gxAao0HG6uoqYSCcXo.jpg,"B for Breasts, B for Body, B for Being",False
1666879,backspace,backspace,ml,an IT employee has to choose between his needs and wants,['Drama'],['life'],['Aravind Ram K'],Aravind Ram K,2023-05-07,5,0.1409,2.0,1,0,0,[],[],['Malayalam'],/kVsgBcKtANn4okKgbGDagiUlInl.jpg,backspace,False
1202507,Kuruthipunal,Kuruthipunal,ml,Kuruthipunal is a malayalam action drama short film based on events occurring on a crime syndicate and the conflict  between the leader and other members happening on a single night....,['Action'],[],"['Nithin Thomas', 'Gokul Kashinath', 'Rahul Babyraj', 'Asif S Hilal', 'Abhijith Vijayan', 'Rahesh Ravi', 'Allu Rinku', 'Sanoop Marakkulam', 'Aaradhya Nair', 'Naveen Raj']",Ajay Ashok,2023-10-06,22,0.1039,10.0,1,0,0,['Degree 54'],[],"['Hindi', 'Malayalam', 'Tamil']",/8Zriwn63YtV4eBITNAMWX5dFSzk.jpg,The River of Blood,False
